Industry and Year,Total Employment,Total Jobs Created,Entry Rate,Exit Rate
Accomodation & Food Services 2011,26508,23597,70.70%,9.02%
Accomodation & Food Services 2012,25340,3213,7.06%,17.15%
Accomodation & Food Services 2013,27601,793,8.04%,12.02%
Accomodation & Food Services 2014,27991,8016,8.40%,12.77%
Accomodation & Food Services 2015,35945,2636,10.45%,7.13%
Accomodation & Food Services 2016,37513,3181,9.84%,11.36%
Accomodation & Food Services 2017,38676,2943,14.11%,10.66%
Accomodation & Food Services 2018,39148,2561,12.23%,14.94%
Accomodation & Food Services 2019,38520,2538,14.72%,7.05%
"Administrative, Support, Waste Management, and Remediation Services 2011",46417,35374,60.66%,20.09%
"Administrative, Support, Waste Management, and Remediation Services 2012",40445,4451,7.79%,24.42%
"Administrative, Support, Waste Management, and Remediation Services 2013",40114,9453,10.52%,12.88%
"Administrative, Support, Waste Management, and Remediation Services 2014",42915,9998,9.05%,26.34%
"Administrative, Support, Waste Management, and Remediation Services 2015",67412,21599,3.92%,19.39%
"Administrative, Support, Waste Management, and Remediation Services 2016",54569,4740,5.97%,21.43%
"Administrative, Support, Waste Management, and Remediation Services 2017",55713,2814,11.03%,20.51%
"Administrative, Support, Waste Management, and Remediation Services 2018",46343,3259,15.28%,15.87%
"Administrative, Support, Waste Management, and Remediation Services 2019",44629,2131,12.37%,13.76%
"Agriculture, Forestry, Fishing, and Hunting 2011",739,506,73.50%,11.29%
"Agriculture, Forestry, Fishing, and Hunting 2012",711,42,7.09%,17.60%
"Agriculture, Forestry, Fishing, and Hunting 2013",620,27,6.44%,12.61%
"Agriculture, Forestry, Fishing, and Hunting 2014",582,60,8.53%,15.88%
"Agriculture, Forestry, Fishing, and Hunting 2015",613,80,8.06%,9.03%
"Agriculture, Forestry, Fishing, and Hunting 2016",649,87,10.87%,11.49%
"Agriculture, Forestry, Fishing, and Hunting 2017",704,142,15.22%,14.63%
"Agriculture, Forestry, Fishing, and Hunting 2018",780,169,19.44%,15.21%
"Agriculture, Forestry, Fishing, and Hunting 2019",727,74,9.01%,11.41%
"Arts, Entertainment, and Recreation 2011",7725,6360,74.51%,10.53%
"Arts, Entertainment, and Recreation 2012",7338,321,7.54%,17.00%
"Arts, Entertainment, and Recreation 2013",6872,350,9.17%,10.08%
"Arts, Entertainment, and Recreation 2014",6896,737,7.27%,13.38%
"Arts, Entertainment, and Recreation 2015",7324,384,10.78%,6.41%
"Arts, Entertainment, and Recreation 2016",7621,662,11.36%,11.86%
"Arts, Entertainment, and Recreation 2017",8070,1045,16.64%,10.44%
"Arts, Entertainment, and Recreation 2018",8107,2957,14.30%,12.37%
"Arts, Entertainment, and Recreation 2019",10097,586,9.11%,8.51%
Construction 2011,34104,27174,66.89%,11.92%
Construction 2012,31524,2360,6.98%,17.24%
Construction 2013,30809,928,8.16%,12.63%
Construction 2014,29807,2268,7.33%,14.96%
Construction 2015,29278,1273,7.82%,6.54%
Construction 2016,31680,3611,9.43%,11.36%
Construction 2017,32035,2028,13.76%,11.33%
Construction 2018,31377,1579,13.82%,11.82%
Construction 2019,30545,1958,13.99%,8.01%
Education Services 2011,11118,9252,77.04%,8.23%
Education Services 2012,11260,371,7.05%,12.35%
Education Services 2013,10948,540,6.64%,11.54%
Education Services 2014,11197,1986,6.83%,15.00%
Education Services 2015,17337,5007,6.94%,3.78%
Education Services 2016,12740,513,7.46%,8.57%
Education Services 2017,13218,970,11.74%,7.68%
Education Services 2018,13570,832,9.61%,6.20%
Education Services 2019,13590,781,9.65%,5.23%
Finance and Insurance 2011,21897,18841,62.89%,15.42%
Finance and Insurance 2012,21044,1150,8.40%,20.30%
Finance and Insurance 2013,19638,765,7.92%,15.53%
Finance and Insurance 2014,19160,2925,9.11%,16.38%
Finance and Insurance 2015,21513,1668,11.53%,7.62%
Finance and Insurance 2016,22365,1538,10.77%,13.95%
Finance and Insurance 2017,22650,1390,15.96%,12.36%
Finance and Insurance 2018,23125,1968,19.32%,14.65%
Finance and Insurance 2019,22399,1533,15.65%,14.92%
Health Care and Social Assistance 2011,54759,45365,69.19%,8.46%
Health Care and Social Assistance 2012,57403,5705,7.29%,17.74%
Health Care and Social Assistance 2013,56667,1729,6.53%,10.33%
Health Care and Social Assistance 2014,56848,5656,5.53%,12.40%
Health Care and Social Assistance 2015,58870,2667,6.40%,6.43%
Health Care and Social Assistance 2016,60037,4724,7.24%,11.16%
Health Care and Social Assistance 2017,65521,10728,17.18%,8.64%
Health Care and Social Assistance 2018,73200,5091,14.68%,9.34%
Health Care and Social Assistance 2019,68564,7283,15.26%,6.99%
Information (Sciences? Technology?) 2011,14827,13086,65.41%,12.73%
Information (Sciences? Technology?) 2012,12559,596,7.71%,23.05%
Information (Sciences? Technology?) 2013,14980,3436,9.49%,12.72%
Information (Sciences? Technology?) 2014,17680,2025,8.48%,19.00%
Information (Sciences? Technology?) 2015,19266,742,10.01%,6.91%
Information (Sciences? Technology?) 2016,19476,1291,10.80%,12.90%
Information (Sciences? Technology?) 2017,19867,838,14.39%,12.37%
Information (Sciences? Technology?) 2018,20232,1033,14.57%,12.66%
Information (Sciences? Technology?) 2019,19091,2704,11.63%,11.68%
Management of Companies and Enterprises 2011,1171,1141,96.31%,17.33%
Management of Companies and Enterprises 2012,1097,74,11.59%,28.35%
Management of Companies and Enterprises 2013,807,81,13.36%,12.98%
Management of Companies and Enterprises 2014,823,1318,15.50%,15.87%
Management of Companies and Enterprises 2015,1822,33,10.59%,9.80%
Management of Companies and Enterprises 2016,1839,110,15.38%,18.68%
Management of Companies and Enterprises 2017,1021,221,23.45%,15.52%
Management of Companies and Enterprises 2018,1112,171,36.22%,13.39%
Management of Companies and Enterprises 2019,1290,269,15.56%,11.99%
Manufacturing 2011,15604,14195,67.57%,10.61%
